cancer,target,omics,year,pca_dim,ancestry
BRCA,OS,mRNA,2,100,AFR
BRCA,OS,MicroRNA,2,100,AFR
BRCA,OS,Methylation,2,100,AFR
BRCA,PFI,mRNA,2,100,AFR
BRCA,PFI,MicroRNA,2,100,AFR
BRCA,PFI,Methylation,2,100,AFR
UCEC,OS,mRNA,2,100,AFR
UCEC,OS,MicroRNA,2,100,AFR
UCEC,OS,Methylation,2,100,AFR
UCEC,PFI,mRNA,2,100,AFR
UCEC,PFI,MicroRNA,2,100,AFR
UCEC,PFI,Methylation,2,100,AFR
KIRC,OS,mRNA,2,100,AFR
KIRC,OS,MicroRNA,2,100,AFR
KIRC,OS,Methylation,2,100,AFR
KIRC,PFI,mRNA,2,100,AFR
KIRC,PFI,MicroRNA,2,100,AFR
KIRC,PFI,Methylation,2,100,AFR

