task,cancer,endpoint,omics,afr_train,afr_val,onepass_mean,icl_min_mean,icl_mixed_mean,delta_onepass_minus_min,delta_onepass_minus_mixed,n_onepass,n_min,n_mixed
KIRC-OS-MicroRNA,KIRC,OS,MicroRNA,23,6,0.6157934169739725,0.591436196813181,0.7929055673896944,0.02435722016079145,-0.17711215041572193,30,30,30
KIRC-PFI-MicroRNA,KIRC,PFI,MicroRNA,23,6,0.54595467124733,0.5079429165044245,0.7550480281035836,0.038011754742905524,-0.20909335685625363,30,30,30
KIRC-OS-Methylation,KIRC,OS,Methylation,24,6,0.7629597896959008,0.8197794579391802,0.8156647660467105,-0.05681966824327933,-0.05270497635080962,30,30,30
KIRC-OS-mRNA,KIRC,OS,mRNA,24,6,0.6251582148010719,0.6799736308664879,0.829263296227582,-0.054815416065415956,-0.20410508142651007,30,30,30
KIRC-PFI-Methylation,KIRC,PFI,Methylation,24,6,0.7047438299868856,0.760597655944878,0.7628104945466057,-0.05585382595799249,-0.058066664559720094,30,30,30
KIRC-PFI-mRNA,KIRC,PFI,mRNA,24,6,0.592030611584183,0.6624225609047039,0.7926005145648001,-0.07039194932052084,-0.20056990298061705,30,30,30
UCEC-PFI-Methylation,UCEC,PFI,Methylation,44,12,0.6221010839704915,0.6399193684115954,0.6551596194513499,-0.017818284441103893,-0.033058535480858464,30,30,30
UCEC-PFI-MicroRNA,UCEC,PFI,MicroRNA,44,12,0.6698819962449457,0.640540129359621,0.7835030774783031,0.029341866885324697,-0.11362108123335735,30,30,30
UCEC-PFI-mRNA,UCEC,PFI,mRNA,44,11,0.6493491918045373,0.684245828401932,0.7015714940819084,-0.034896636597394726,-0.052222302277371124,30,30,30
UCEC-OS-mRNA,UCEC,OS,mRNA,48,13,0.6336189633809602,0.6864495050204545,0.6283615214955514,-0.0528305416394943,0.005257441885408887,30,30,30
UCEC-OS-Methylation,UCEC,OS,Methylation,49,13,0.6432023755129889,0.6362983017298033,0.7037966997670944,0.0069040737831855825,-0.06059432425410549,30,30,30
UCEC-OS-MicroRNA,UCEC,OS,MicroRNA,49,13,0.6406005178763016,0.6326112463244816,0.7172058807599636,0.007989271551819943,-0.07660536288366204,30,30,30
BRCA-PFI-Methylation,BRCA,PFI,Methylation,88,22,0.7081570618271843,0.6946291596133125,0.7094324770748954,0.01352790221387179,-0.0012754152477111314,30,30,30
BRCA-PFI-MicroRNA,BRCA,PFI,MicroRNA,89,23,0.7476110272342382,0.7278795915233636,0.6340269427076326,0.019731435710874656,0.11358408452660562,30,30,30
BRCA-PFI-mRNA,BRCA,PFI,mRNA,90,23,0.6537517012799257,0.6604133388131983,0.685646893813034,-0.006661637533272646,-0.03189519253310835,30,30,30
BRCA-OS-Methylation,BRCA,OS,Methylation,91,23,0.7222177293421149,0.7113277917142989,0.6916682306110925,0.010889937627815982,0.030549498731022418,30,30,30
BRCA-OS-MicroRNA,BRCA,OS,MicroRNA,92,24,0.7516177626761369,0.7258595783689235,0.6277664000931406,0.02575818430721344,0.12385136258299634,30,30,30
BRCA-OS-mRNA,BRCA,OS,mRNA,93,24,0.6585779162167485,0.6664040540662289,0.6849747830710462,-0.007826137849480386,-0.02639686685429765,30,30,30
